,0,1
020600,CN0206000000000,"Bristol Bay Borough, AK "
020630,CN0206300000000,"Chugach Census Area, AK "
020660,CN0206600000000,"Copper River Census Area, AK "
020680,CN0206800000000,"Denali Borough, AK "
020700,CN0207000000000,"Dillingham Census Area, AK "
020900,CN0209000000000,"Fairbanks North Star Borough, AK "
021000,CN0210000000000,"Haines Borough, AK "
021050,CN0210500000000,"Hoonah-Angoon Census Area, AK "
021100,CN0211000000000,"Juneau Borough/city, AK "
021220,CN0212200000000,"Kenai Peninsula Borough, AK "
021300,CN0213000000000,"Ketchikan Gateway Borough, AK "
021500,CN0215000000000,"Kodiak Island Borough, AK "
021580,CN0215800000000,"Kusilvak Census Area, AK "
021640,CN0216400000000,"Lake and Peninsula Borough, AK "
021700,CN0217000000000,"Matanuska-Susitna Borough, AK "
021800,CN0218000000000,"Nome Census Area, AK "
021850,CN0218500000000,"North Slope Borough, AK "
021880,CN0218800000000,"Northwest Arctic Borough, AK "
021950,CN0219500000000,"Petersburg Borough, AK "
021980,CN0219800000000,"Prince of Wales-Hyder Census Area, AK "
022010,CN0220100000000,"Prince of Wales-Outer Ketchikan Census Area, AK "
022200,CN0222000000000,"Sitka Borough/city, AK "
022300,CN0223000000000,"Skagway Municipality, AK "
022320,CN0223200000000,"Skagway-Hoonah-Angoon Census Area, AK "
022400,CN0224000000000,"Southeast Fairbanks Census Area, AK "
022610,CN0226100000000,"Valdez-Cordova Census Area, AK "
022750,CN0227500000000,"Wrangell Borough/city, AK "
022800,CN0228000000000,"Wrangell-Petersburg Census Area, AK "
022820,CN0228200000000,"Yakutat Borough/city, AK "
022900,CN0229000000000,"Yukon-Koyukuk Census Area, AK "
040010,CN0400100000000,"Apache County, AZ "
040030,CN0400300000000,"Cochise County, AZ "
040050,CN0400500000000,"Coconino County, AZ "
040070,CN0400700000000,"Gila County, AZ "
040090,CN0400900000000,"Graham County, AZ "
040110,CN0401100000000,"Greenlee County, AZ "
040120,CN0401200000000,"La Paz County, AZ "
040130,CN0401300000000,"Maricopa County, AZ "
040150,CN0401500000000,"Mohave County, AZ "
040170,CN0401700000000,"Navajo County, AZ "
040190,CN0401900000000,"Pima County, AZ "
040210,CN0402100000000,"Pinal County, AZ "
040230,CN0402300000000,"Santa Cruz County, AZ "
040250,CN0402500000000,"Yavapai County, AZ "
040270,CN0402700000000,"Yuma County, AZ "
050010,CN0500100000000,"Arkansas County, AR "
050030,CN0500300000000,"Ashley County, AR "
050050,CN0500500000000,"Baxter County, AR "
050070,CN0500700000000,"Benton County, AR "
050090,CN0500900000000,"Boone County, AR "
050110,CN0501100000000,"Bradley County, AR "
050130,CN0501300000000,"Calhoun County, AR "
050150,CN0501500000000,"Carroll County, AR "
050170,CN0501700000000,"Chicot County, AR "
050190,CN0501900000000,"Clark County, AR "
050210,CN0502100000000,"Clay County, AR "
050230,CN0502300000000,"Cleburne County, AR "
050250,CN0502500000000,"Cleveland County, AR "
050270,CN0502700000000,"Columbia County, AR "
050290,CN0502900000000,"Conway County, AR "
050310,CN0503100000000,"Craighead County, AR "
050330,CN0503300000000,"Crawford County, AR "
050350,CN0503500000000,"Crittenden County, AR "
050370,CN0503700000000,"Cross County, AR "
050390,CN0503900000000,"Dallas County, AR "
050410,CN0504100000000,"Desha County, AR "
050430,CN0504300000000,"Drew County, AR "
050450,CN0504500000000,"Faulkner County, AR "
050470,CN0504700000000,"Franklin County, AR "
050490,CN0504900000000,"Fulton County, AR "
050510,CN0505100000000,"Garland County, AR "
050530,CN0505300000000,"Grant County, AR "
050550,CN0505500000000,"Greene County, AR "
050570,CN0505700000000,"Hempstead County, AR "
050590,CN0505900000000,"Hot Spring County, AR "
050610,CN0506100000000,"Howard County, AR "
050630,CN0506300000000,"Independence County, AR "
050650,CN0506500000000,"Izard County, AR "
050670,CN0506700000000,"Jackson County, AR "
050690,CN0506900000000,"Jefferson County, AR "
050710,CN0507100000000,"Johnson County, AR "
050730,CN0507300000000,"Lafayette County, AR "
050750,CN0507500000000,"Lawrence County, AR "
050770,CN0507700000000,"Lee County, AR "
050790,CN0507900000000,"Lincoln County, AR "
050810,CN0508100000000,"Little River County, AR "
050830,CN0508300000000,"Logan County, AR "
050850,CN0508500000000,"Lonoke County, AR "
050870,CN0508700000000,"Madison County, AR "
050890,CN0508900000000,"Marion County, AR "
050910,CN0509100000000,"Miller County, AR "
050930,CN0509300000000,"Mississippi County, AR "
050950,CN0509500000000,"Monroe County, AR "
050970,CN0509700000000,"Montgomery County, AR "
050990,CN0509900000000,"Nevada County, AR "
051010,CN0510100000000,"Newton County, AR "
051030,CN0510300000000,"Ouachita County, AR "
051050,CN0510500000000,"Perry County, AR "
051070,CN0510700000000,"Phillips County, AR "
051090,CN0510900000000,"Pike County, AR "
051110,CN0511100000000,"Poinsett County, AR "
051130,CN0511300000000,"Polk County, AR "
051150,CN0511500000000,"Pope County, AR "
051170,CN0511700000000,"Prairie County, AR "
051190,CN0511900000000,"Pulaski County, AR "
051210,CN0512100000000,"Randolph County, AR "
051230,CN0512300000000,"St. Francis County, AR "
051250,CN0512500000000,"Saline County, AR "
051270,CN0512700000000,"Scott County, AR "
051290,CN0512900000000,"Searcy County, AR "
051310,CN0513100000000,"Sebastian County, AR "
051330,CN0513300000000,"Sevier County, AR "
051350,CN0513500000000,"Sharp County, AR "
051370,CN0513700000000,"Stone County, AR "
051390,CN0513900000000,"Union County, AR "
051410,CN0514100000000,"Van Buren County, AR "
051430,CN0514300000000,"Washington County, AR "
051450,CN0514500000000,"White County, AR "
051470,CN0514700000000,"Woodruff County, AR "
051490,CN0514900000000,"Yell County, AR "
060010,CN0600100000000,"Alameda County, CA "
060030,CN0600300000000,"Alpine County, CA "
060050,CN0600500000000,"Amador County, CA "
060070,CN0600700000000,"Butte County, CA "
060090,CN0600900000000,"Calaveras County, CA "
060110,CN0601100000000,"Colusa County, CA "
060130,CN0601300000000,"Contra Costa County, CA "
060150,CN0601500000000,"Del Norte County, CA "
060170,CN0601700000000,"El Dorado County, CA "
060190,CN0601900000000,"Fresno County, CA "
060210,CN0602100000000,"Glenn County, CA "
060230,CN0602300000000,"Humboldt County, CA "
060250,CN0602500000000,"Imperial County, CA "
060270,CN0602700000000,"Inyo County, CA "
060290,CN0602900000000,"Kern County, CA "
060310,CN0603100000000,"Kings County, CA "
060330,CN0603300000000,"Lake County, CA "
060350,CN0603500000000,"Lassen County, CA "
060370,CN0603700000000,"Los Angeles County, CA "
060390,CN0603900000000,"Madera County, CA "
060410,CN0604100000000,"Marin County, CA "
060430,CN0604300000000,"Mariposa County, CA "
060450,CN0604500000000,"Mendocino County, CA "
060470,CN0604700000000,"Merced County, CA "
060490,CN0604900000000,"Modoc County, CA "
060510,CN0605100000000,"Mono County, CA "
060530,CN0605300000000,"Monterey County, CA "
060550,CN0605500000000,"Napa County, CA "
060570,CN0605700000000,"Nevada County, CA "
060590,CN0605900000000,"Orange County, CA "
060610,CN0606100000000,"Placer County, CA "
060630,CN0606300000000,"Plumas County, CA "
060650,CN0606500000000,"Riverside County, CA "
060670,CN0606700000000,"Sacramento County, CA "
060690,CN0606900000000,"San Benito County, CA "
060710,CN0607100000000,"San Bernardino County, CA "
060730,CN0607300000000,"San Diego County, CA "
060750,CN0607500000000,"San Francisco County/city, CA "
060770,CN0607700000000,"San Joaquin County, CA "
060790,CN0607900000000,"San Luis Obispo County, CA "
060810,CN0608100000000,"San Mateo County, CA "
060830,CN0608300000000,"Santa Barbara County, CA "
060850,CN0608500000000,"Santa Clara County, CA "
060870,CN0608700000000,"Santa Cruz County, CA "
060890,CN0608900000000,"Shasta County, CA "
060910,CN0609100000000,"Sierra County, CA "
060930,CN0609300000000,"Siskiyou County, CA "
060950,CN0609500000000,"Solano County, CA "
060970,CN0609700000000,"Sonoma County, CA "
060990,CN0609900000000,"Stanislaus County, CA "
061010,CN0610100000000,"Sutter County, CA "
061030,CN0610300000000,"Tehama County, CA "
061050,CN0610500000000,"Trinity County, CA "
061070,CN0610700000000,"Tulare County, CA "
061090,CN0610900000000,"Tuolumne County, CA "
061110,CN0611100000000,"Ventura County, CA "
061130,CN0611300000000,"Yolo County, CA "
061150,CN0611500000000,"Yuba County, CA "
080010,CN0800100000000,"Adams County, CO "
080030,CN0800300000000,"Alamosa County, CO "
080050,CN0800500000000,"Arapahoe County, CO "
080070,CN0800700000000,"Archuleta County, CO "
080090,CN0800900000000,"Baca County, CO "
080110,CN0801100000000,"Bent County, CO "
080130,CN0801300000000,"Boulder County, CO "
080140,CN0801400000000,"Broomfield County/city, CO "
080150,CN0801500000000,"Chaffee County, CO "
080170,CN0801700000000,"Cheyenne County, CO "
080190,CN0801900000000,"Clear Creek County, CO "
080210,CN0802100000000,"Conejos County, CO "
080230,CN0802300000000,"Costilla County, CO "
080250,CN0802500000000,"Crowley County, CO "
080270,CN0802700000000,"Custer County, CO "
080290,CN0802900000000,"Delta County, CO "
080310,CN0803100000000,"Denver County/city, CO "
080330,CN0803300000000,"Dolores County, CO "
080350,CN0803500000000,"Douglas County, CO "
080370,CN0803700000000,"Eagle County, CO "
080390,CN0803900000000,"Elbert County, CO "
080410,CN0804100000000,"El Paso County, CO "
080430,CN0804300000000,"Fremont County, CO "
080450,CN0804500000000,"Garfield County, CO "
080470,CN0804700000000,"Gilpin County, CO "
080490,CN0804900000000,"Grand County, CO "
080510,CN0805100000000,"Gunnison County, CO "
080530,CN0805300000000,"Hinsdale County, CO "
080550,CN0805500000000,"Huerfano County, CO "
080570,CN0805700000000,"Jackson County, CO "
080590,CN0805900000000,"Jefferson County, CO "
080610,CN0806100000000,"Kiowa County, CO "
080630,CN0806300000000,"Kit Carson County, CO "
080650,CN0806500000000,"Lake County, CO "
080670,CN0806700000000,"La Plata County, CO "
080690,CN0806900000000,"Larimer County, CO "
080710,CN0807100000000,"Las Animas County, CO "
080730,CN0807300000000,"Lincoln County, CO "
080750,CN0807500000000,"Logan County, CO "
080770,CN0807700000000,"Mesa County, CO "
080790,CN0807900000000,"Mineral County, CO "
080810,CN0808100000000,"Moffat County, CO "
080830,CN0808300000000,"Montezuma County, CO "
080850,CN0808500000000,"Montrose County, CO "
080870,CN0808700000000,"Morgan County, CO "
080890,CN0808900000000,"Otero County, CO "
080910,CN0809100000000,"Ouray County, CO "
080930,CN0809300000000,"Park County, CO "
080950,CN0809500000000,"Phillips County, CO "
080970,CN0809700000000,"Pitkin County, CO "
080990,CN0809900000000,"Prowers County, CO "
081010,CN0810100000000,"Pueblo County, CO "
081030,CN0810300000000,"Rio Blanco County, CO "
081050,CN0810500000000,"Rio Grande County, CO "
081070,CN0810700000000,"Routt County, CO "
081090,CN0810900000000,"Saguache County, CO "
081110,CN0811100000000,"San Juan County, CO "
081130,CN0811300000000,"San Miguel County, CO "
081150,CN0811500000000,"Sedgwick County, CO "
081170,CN0811700000000,"Summit County, CO "
081190,CN0811900000000,"Teller County, CO "
081210,CN0812100000000,"Washington County, CO "
081230,CN0812300000000,"Weld County, CO "
081250,CN0812500000000,"Yuma County, CO "
090010,CN0900100000000,"Fairfield County, CT "
090030,CN0900300000000,"Hartford County, CT "
090050,CN0900500000000,"Litchfield County, CT "
090070,CN0900700000000,"Middlesex County, CT "
090090,CN0900900000000,"New Haven County, CT "
090110,CN0901100000000,"New London County, CT "
090130,CN0901300000000,"Tolland County, CT "
090150,CN0901500000000,"Windham County, CT "
100010,CN1000100000000,"Kent County, DE "
100030,CN1000300000000,"New Castle County, DE "
100050,CN1000500000000,"Sussex County, DE "
110010,CN1100100000000,District of Columbia 
120010,CN1200100000000,"Alachua County, FL "
120030,CN1200300000000,"Baker County, FL "
120050,CN1200500000000,"Bay County, FL "
120070,CN1200700000000,"Bradford County, FL "
120090,CN1200900000000,"Brevard County, FL "
120110,CN1201100000000,"Broward County, FL "
120130,CN1201300000000,"Calhoun County, FL "
120150,CN1201500000000,"Charlotte County, FL "
120170,CN1201700000000,"Citrus County, FL "
120190,CN1201900000000,"Clay County, FL "
120210,CN1202100000000,"Collier County, FL "
120230,CN1202300000000,"Columbia County, FL "
120270,CN1202700000000,"DeSoto County, FL "
120290,CN1202900000000,"Dixie County, FL "
120310,CN1203100000000,"Duval County, FL "
120330,CN1203300000000,"Escambia County, FL "
120350,CN1203500000000,"Flagler County, FL "
120370,CN1203700000000,"Franklin County, FL "
120390,CN1203900000000,"Gadsden County, FL "
120410,CN1204100000000,"Gilchrist County, FL "
120430,CN1204300000000,"Glades County, FL "
120450,CN1204500000000,"Gulf County, FL "
120470,CN1204700000000,"Hamilton County, FL "
120490,CN1204900000000,"Hardee County, FL "
120510,CN1205100000000,"Hendry County, FL "
120530,CN1205300000000,"Hernando County, FL "
120550,CN1205500000000,"Highlands County, FL "
120570,CN1205700000000,"Hillsborough County, FL "
120590,CN1205900000000,"Holmes County, FL "
120610,CN1206100000000,"Indian River County, FL "
120630,CN1206300000000,"Jackson County, FL "
120650,CN1206500000000,"Jefferson County, FL "
120670,CN1206700000000,"Lafayette County, FL "
120690,CN1206900000000,"Lake County, FL "
120710,CN1207100000000,"Lee County, FL "
120730,CN1207300000000,"Leon County, FL "
120750,CN1207500000000,"Levy County, FL "
120770,CN1207700000000,"Liberty County, FL "
120790,CN1207900000000,"Madison County, FL "
120810,CN1208100000000,"Manatee County, FL "
120830,CN1208300000000,"Marion County, FL "
120850,CN1208500000000,"Martin County, FL "
120860,CN1208600000000,"Miami-Dade County, FL "
120870,CN1208700000000,"Monroe County, FL "
120890,CN1208900000000,"Nassau County, FL "
120910,CN1209100000000,"Okaloosa County, FL "
120930,CN1209300000000,"Okeechobee County, FL "
120950,CN1209500000000,"Orange County, FL "
120970,CN1209700000000,"Osceola County, FL "
120990,CN1209900000000,"Palm Beach County, FL "
121010,CN1210100000000,"Pasco County, FL "
121030,CN1210300000000,"Pinellas County, FL "
121050,CN1210500000000,"Polk County, FL "
121070,CN1210700000000,"Putnam County, FL "
121090,CN1210900000000,"St. Johns County, FL "
121110,CN1211100000000,"St. Lucie County, FL "
121130,CN1211300000000,"Santa Rosa County, FL "
121150,CN1211500000000,"Sarasota County, FL "
121170,CN1211700000000,"Seminole County, FL "
121190,CN1211900000000,"Sumter County, FL "
121210,CN1212100000000,"Suwannee County, FL "
121230,CN1212300000000,"Taylor County, FL "
121250,CN1212500000000,"Union County, FL "
121270,CN1212700000000,"Volusia County, FL "
121290,CN1212900000000,"Wakulla County, FL "
121310,CN1213100000000,"Walton County, FL "
121330,CN1213300000000,"Washington County, FL "
130010,CN1300100000000,"Appling County, GA "
130030,CN1300300000000,"Atkinson County, GA "
130050,CN1300500000000,"Bacon County, GA "
130070,CN1300700000000,"Baker County, GA "
130090,CN1300900000000,"Baldwin County, GA "
130110,CN1301100000000,"Banks County, GA "
130130,CN1301300000000,"Barrow County, GA "
130150,CN1301500000000,"Bartow County, GA "
130170,CN1301700000000,"Ben Hill County, GA "
130190,CN1301900000000,"Berrien County, GA "
130210,CN1302100000000,"Bibb County, GA "
130230,CN1302300000000,"Bleckley County, GA "
130250,CN1302500000000,"Brantley County, GA "
130270,CN1302700000000,"Brooks County, GA "
130290,CN1302900000000,"Bryan County, GA "
130310,CN1303100000000,"Bulloch County, GA "
130330,CN1303300000000,"Burke County, GA "
130350,CN1303500000000,"Butts County, GA "
130370,CN1303700000000,"Calhoun County, GA "
130390,CN1303900000000,"Camden County, GA "
130430,CN1304300000000,"Candler County, GA "
130450,CN1304500000000,"Carroll County, GA "
130470,CN1304700000000,"Catoosa County, GA "
130490,CN1304900000000,"Charlton County, GA "
130510,CN1305100000000,"Chatham County, GA "
130530,CN1305300000000,"Chattahoochee County, GA "
130550,CN1305500000000,"Chattooga County, GA "
130570,CN1305700000000,"Cherokee County, GA "
130590,CN1305900000000,"Clarke County, GA "
130610,CN1306100000000,"Clay County, GA "
130630,CN1306300000000,"Clayton County, GA "
130650,CN1306500000000,"Clinch County, GA "
130670,CN1306700000000,"Cobb County, GA "
130690,CN1306900000000,"Coffee County, GA "
130710,CN1307100000000,"Colquitt County, GA "
130730,CN1307300000000,"Columbia County, GA "
130750,CN1307500000000,"Cook County, GA "
130770,CN1307700000000,"Coweta County, GA "
130790,CN1307900000000,"Crawford County, GA "
130810,CN1308100000000,"Crisp County, GA "
130830,CN1308300000000,"Dade County, GA "
130850,CN1308500000000,"Dawson County, GA "
130870,CN1308700000000,"Decatur County, GA "
130890,CN1308900000000,"DeKalb County, GA "
130910,CN1309100000000,"Dodge County, GA "
130930,CN1309300000000,"Dooly County, GA "
130950,CN1309500000000,"Dougherty County, GA "
130970,CN1309700000000,"Douglas County, GA "
130990,CN1309900000000,"Early County, GA "
131010,CN1310100000000,"Echols County, GA "
131030,CN1310300000000,"Effingham County, GA "
131050,CN1310500000000,"Elbert County, GA "
131070,CN1310700000000,"Emanuel County, GA "
131090,CN1310900000000,"Evans County, GA "
131110,CN1311100000000,"Fannin County, GA "
131130,CN1311300000000,"Fayette County, GA "
131150,CN1311500000000,"Floyd County, GA "
131170,CN1311700000000,"Forsyth County, GA "
131190,CN1311900000000,"Franklin County, GA "
131210,CN1312100000000,"Fulton County, GA "
131230,CN1312300000000,"Gilmer County, GA "
131250,CN1312500000000,"Glascock County, GA "
131270,CN1312700000000,"Glynn County, GA "
131290,CN1312900000000,"Gordon County, GA "
131310,CN1313100000000,"Grady County, GA "
131330,CN1313300000000,"Greene County, GA "
131350,CN1313500000000,"Gwinnett County, GA "
131370,CN1313700000000,"Habersham County, GA "
131390,CN1313900000000,"Hall County, GA "
131410,CN1314100000000,"Hancock County, GA "
131430,CN1314300000000,"Haralson County, GA "
131450,CN1314500000000,"Harris County, GA "
131470,CN1314700000000,"Hart County, GA "
131490,CN1314900000000,"Heard County, GA "
131510,CN1315100000000,"Henry County, GA "
131530,CN1315300000000,"Houston County, GA "
131550,CN1315500000000,"Irwin County, GA "
131570,CN1315700000000,"Jackson County, GA "
131590,CN1315900000000,"Jasper County, GA "
131610,CN1316100000000,"Jeff Davis County, GA "
131630,CN1316300000000,"Jefferson County, GA "
131650,CN1316500000000,"Jenkins County, GA "
131670,CN1316700000000,"Johnson County, GA "
131690,CN1316900000000,"Jones County, GA "
131710,CN1317100000000,"Lamar County, GA "
131730,CN1317300000000,"Lanier County, GA "
131750,CN1317500000000,"Laurens County, GA "
131770,CN1317700000000,"Lee County, GA "
131790,CN1317900000000,"Liberty County, GA "
131810,CN1318100000000,"Lincoln County, GA "
131830,CN1318300000000,"Long County, GA "
131850,CN1318500000000,"Lowndes County, GA "
131870,CN1318700000000,"Lumpkin County, GA "
131890,CN1318900000000,"McDuffie County, GA "
131910,CN1319100000000,"McIntosh County, GA "
131930,CN1319300000000,"Macon County, GA "
131950,CN1319500000000,"Madison County, GA "
131970,CN1319700000000,"Marion County, GA "
131990,CN1319900000000,"Meriwether County, GA "
132010,CN1320100000000,"Miller County, GA "
132050,CN1320500000000,"Mitchell County, GA "
132070,CN1320700000000,"Monroe County, GA "
132090,CN1320900000000,"Montgomery County, GA "
132110,CN1321100000000,"Morgan County, GA "
132130,CN1321300000000,"Murray County, GA "
132150,CN1321500000000,"Muscogee County, GA "
132170,CN1321700000000,"Newton County, GA "
132190,CN1321900000000,"Oconee County, GA "
132210,CN1322100000000,"Oglethorpe County, GA "
132230,CN1322300000000,"Paulding County, GA "
132250,CN1322500000000,"Peach County, GA "
132270,CN1322700000000,"Pickens County, GA "
132290,CN1322900000000,"Pierce County, GA "
132310,CN1323100000000,"Pike County, GA "
132330,CN1323300000000,"Polk County, GA "
132350,CN1323500000000,"Pulaski County, GA "
132370,CN1323700000000,"Putnam County, GA "
132390,CN1323900000000,"Quitman County, GA "
132410,CN1324100000000,"Rabun County, GA "
132430,CN1324300000000,"Randolph County, GA "
132450,CN1324500000000,"Richmond County, GA "
132470,CN1324700000000,"Rockdale County, GA "
132490,CN1324900000000,"Schley County, GA "
132510,CN1325100000000,"Screven County, GA "
132530,CN1325300000000,"Seminole County, GA "
132550,CN1325500000000,"Spalding County, GA "
132570,CN1325700000000,"Stephens County, GA "
132590,CN1325900000000,"Stewart County, GA "
132610,CN1326100000000,"Sumter County, GA "
132630,CN1326300000000,"Talbot County, GA "
132650,CN1326500000000,"Taliaferro County, GA "
132670,CN1326700000000,"Tattnall County, GA "
132690,CN1326900000000,"Taylor County, GA "
132710,CN1327100000000,"Telfair County, GA "
132730,CN1327300000000,"Terrell County, GA "
132750,CN1327500000000,"Thomas County, GA "
132770,CN1327700000000,"Tift County, GA "
132790,CN1327900000000,"Toombs County, GA "
132810,CN1328100000000,"Towns County, GA "
132830,CN1328300000000,"Treutlen County, GA "
132850,CN1328500000000,"Troup County, GA "
132870,CN1328700000000,"Turner County, GA "
132890,CN1328900000000,"Twiggs County, GA "
132910,CN1329100000000,"Union County, GA "
132930,CN1329300000000,"Upson County, GA "
132950,CN1329500000000,"Walker County, GA "
132970,CN1329700000000,"Walton County, GA "
132990,CN1329900000000,"Ware County, GA "
133010,CN1330100000000,"Warren County, GA "
133030,CN1330300000000,"Washington County, GA "
133050,CN1330500000000,"Wayne County, GA "
133070,CN1330700000000,"Webster County, GA "
133090,CN1330900000000,"Wheeler County, GA "
133110,CN1331100000000,"White County, GA "
133130,CN1331300000000,"Whitfield County, GA "
133150,CN1331500000000,"Wilcox County, GA "
133170,CN1331700000000,"Wilkes County, GA "
133190,CN1331900000000,"Wilkinson County, GA "
133210,CN1332100000000,"Worth County, GA "
150010,CN1500100000000,"Hawaii County, HI "
150030,CN1500300000000,"Honolulu County/city, HI "
150070,CN1500700000000,"Kauai County, HI "
150090,CN1500900000000,"Maui County, HI "
160010,CN1600100000000,"Ada County, ID "
160030,CN1600300000000,"Adams County, ID "
160050,CN1600500000000,"Bannock County, ID "
160070,CN1600700000000,"Bear Lake County, ID "
160090,CN1600900000000,"Benewah County, ID "
160110,CN1601100000000,"Bingham County, ID "
160130,CN1601300000000,"Blaine County, ID "
160150,CN1601500000000,"Boise County, ID "
160170,CN1601700000000,"Bonner County, ID "
160190,CN1601900000000,"Bonneville County, ID "
160210,CN1602100000000,"Boundary County, ID "
160230,CN1602300000000,"Butte County, ID "
160250,CN1602500000000,"Camas County, ID "
160270,CN1602700000000,"Canyon County, ID "
160290,CN1602900000000,"Caribou County, ID "
160310,CN1603100000000,"Cassia County, ID "
160330,CN1603300000000,"Clark County, ID "
160350,CN1603500000000,"Clearwater County, ID "
160370,CN1603700000000,"Custer County, ID "
160390,CN1603900000000,"Elmore County, ID "
160410,CN1604100000000,"Franklin County, ID "
160430,CN1604300000000,"Fremont County, ID "
160450,CN1604500000000,"Gem County, ID "
160470,CN1604700000000,"Gooding County, ID "
160490,CN1604900000000,"Idaho County, ID "
160510,CN1605100000000,"Jefferson County, ID "
160530,CN1605300000000,"Jerome County, ID "
160550,CN1605500000000,"Kootenai County, ID "
160570,CN1605700000000,"Latah County, ID "
160590,CN1605900000000,"Lemhi County, ID "
160610,CN1606100000000,"Lewis County, ID "
160630,CN1606300000000,"Lincoln County, ID "
160650,CN1606500000000,"Madison County, ID "
160670,CN1606700000000,"Minidoka County, ID "
160690,CN1606900000000,"Nez Perce County, ID "
160710,CN1607100000000,"Oneida County, ID "
160730,CN1607300000000,"Owyhee County, ID "
160750,CN1607500000000,"Payette County, ID "
160770,CN1607700000000,"Power County, ID "
160790,CN1607900000000,"Shoshone County, ID "
160810,CN1608100000000,"Teton County, ID "
160830,CN1608300000000,"Twin Falls County, ID "
160850,CN1608500000000,"Valley County, ID "
160870,CN1608700000000,"Washington County, ID "
170010,CN1700100000000,"Adams County, IL "
170030,CN1700300000000,"Alexander County, IL "
170050,CN1700500000000,"Bond County, IL "
170070,CN1700700000000,"Boone County, IL "
170090,CN1700900000000,"Brown County, IL "
170110,CN1701100000000,"Bureau County, IL "
170130,CN1701300000000,"Calhoun County, IL "
170150,CN1701500000000,"Carroll County, IL "
170170,CN1701700000000,"Cass County, IL "
170190,CN1701900000000,"Champaign County, IL "
170210,CN1702100000000,"Christian County, IL "
170230,CN1702300000000,"Clark County, IL "
170250,CN1702500000000,"Clay County, IL "
170270,CN1702700000000,"Clinton County, IL "
170290,CN1702900000000,"Coles County, IL "
170310,CN1703100000000,"Cook County, IL "
170330,CN1703300000000,"Crawford County, IL "
170350,CN1703500000000,"Cumberland County, IL "
170370,CN1703700000000,"DeKalb County, IL "
170390,CN1703900000000,"De Witt County, IL "
170410,CN1704100000000,"Douglas County, IL "
170430,CN1704300000000,"DuPage County, IL "
170450,CN1704500000000,"Edgar County, IL "
170470,CN1704700000000,"Edwards County, IL "
170490,CN1704900000000,"Effingham County, IL "
